day_avg_dwell,day_of_week,lat,long,off,on,route,stop_name,total,trip_avg_dwell,unique_stop_number
1.0,WEEKDAY,39.998262,-83.153144,2,0,21,HILLIARD ROME RD & CABOT,2,0.1,4179
1.8,WEEKDAY,39.99825,-83.153157,0,3,71,HILLIARD ROME RD & CABOT,3,0.2,4179
1.9,WEEKDAY,39.99866,-83.153023,1,3,21,HILLIARD ROME RD & CABOT,5,0.1,4180
0.7,WEEKDAY,39.998645,-83.153018,2,0,71,HILLIARD ROME RD & CABOT,2,0.1,4180
4.8,WEEKDAY,39.96806,-82.987642,6,3,11,E SPRING ST & MOUNT VERN,9,0.3,4167
0.6,WEEKDAY,39.968041,-82.987664,1,0,41,E SPRING ST & MOUNT VERN,1,0.1,4167
1.0,WEEKDAY,39.968102,-82.987535,2,0,42,E SPRING ST & MOUNT VERN,3,0.5,4167
1.0,WEEKDAY,39.968048,-82.987695,2,0,43,E SPRING ST & MOUNT VERN,2,0.1,4167
0.4,WEEKDAY,39.968053,-82.987793,1,0,44,E SPRING ST & MOUNT VERN,1,0.2,4167
42.9,WEEKDAY,39.954809,-82.999838,14,121,3,W MOUND ST & S HIGH ST,135,1.2,4228
15.1,WEEKDAY,39.954773,-82.999794,56,14,4,W MOUND ST & S HIGH ST,69,0.3,4228
27.2,WEEKDAY,39.954783,-82.999827,172,20,5,W MOUND ST & S HIGH ST,192,0.4,4228
26.3,WEEKDAY,39.9548,-82.999836,20,99,6,W MOUND ST & S HIGH ST,119,0.7,4228
26.8,WEEKDAY,39.954818,-82.999769,15,42,7,W MOUND ST & S HIGH ST,56,0.4,4228
35.1,WEEKDAY,39.953903,-83.098135,85,40,10,W BROAD ST & BROADLAWN A,125,0.4,4239
0.2,WEEKDAY,39.953628,-83.102315,0,0,5,W BROAD ST & VIOTIS DR,0,0.0,4241
3.4,WEEKDAY,39.953633,-83.102351,6,2,10,W BROAD ST & VIOTIS DR,8,0.0,4241
8.6,WEEKDAY,39.953191,-83.111847,14,5,10,4158 W BROAD ST,20,0.1,4242
5.3,WEEKDAY,39.942439,-83.111821,5,0,21,GEORGESVILLE RD & SULLIV,6,0.4,4244
0.8,WEEKDAY,39.952904,-83.109347,3,0,21,W BROAD ST & GEORGESVILL,3,0.1,4282
0.9,WEEKDAY,39.953388,-83.103597,0,2,5,3865 W BROAD ST,2,0.1,4283
4.7,WEEKDAY,39.953371,-83.103557,2,8,10,3865 W BROAD ST,10,0.1,4283
1.6,WEEKDAY,39.953024,-83.107149,2,0,6,3953 W BROAD ST,3,0.0,4284
2.9,WEEKDAY,39.95307,-83.10722,2,3,10,3953 W BROAD ST,4,0.0,4284
7.5,WEEKDAY,40.038078,-83.017644,2,15,2,N HIGH ST & ERIE RD,17,0.1,4203
0.1,WEEKDAY,40.038058,-83.01765,0,0,131,N HIGH ST & ERIE RD,0,0.0,4203
9.7,WEEKDAY,40.018503,-83.023804,44,4,1,2825 OLENTANGY RIVER RD,48,0.1,4204
2.0,WEEKDAY,40.096356,-83.017544,6,1,102,N HIGH ST & WORTHINGTON,7,0.1,4207
15.7,WEEKDAY,39.952763,-82.996365,13,13,1,E LIVINGSTON AVE & S 3RD,25,0.2,4211
20.5,WEEKDAY,39.967218,-82.992337,27,35,7,E SPRING ST & N GRANT AV,62,0.3,4169
2.9,WEEKDAY,39.967214,-82.992313,2,5,11,E SPRING ST & N GRANT AV,7,0.2,4169
2.6,WEEKDAY,39.966943,-82.994626,4,2,7,E SPRING ST & NEILSTON S,6,0.0,4170
0.2,WEEKDAY,39.966928,-82.994653,0,0,11,E SPRING ST & NEILSTON S,1,0.0,4170
0.5,WEEKDAY,39.966924,-82.994691,1,0,41,E SPRING ST & NEILSTON S,1,0.0,4170
2.7,WEEKDAY,39.955455,-82.791913,5,0,2,E MAIN ST & ESTATES LN,6,0.1,4321
0.6,WEEKDAY,39.957447,-82.782869,0,1,2,GOLDSMITH DR & HILTON DR,1,0.0,4324
5.3,WEEKDAY,39.956131,-82.784257,1,3,2,CARLYLE DR & E MAIN ST,4,0.2,4326
3.5,WEEKDAY,39.955583,-82.791021,0,7,2,E MAIN ST & ESTATES LN,7,0.1,4327
5.8,WEEKDAY,39.955462,-82.79615,1,11,2,E MAIN ST & WAGGONER RD,12,0.2,4328
0.6,WEEKDAY,39.933758,-82.947065,2,1,22,FREBIS AVE & FREBIS LN,3,0.0,4289
9.8,WEEKDAY,39.955272,-82.867758,3,17,2,E MAIN ST & COUNTRY CLUB,20,0.2,4294
7.0,WEEKDAY,39.955367,-82.871088,4,12,2,E MAIN ST & SHADY LANE R,16,0.2,4295
3.6,WEEKDAY,39.881864,-82.992509,2,5,8,301 OBETZ RD,7,0.1,4298
4.5,WEEKDAY,39.912696,-82.995277,2,5,8,S HIGH ST & DERING AVE,7,0.1,4300
1.2,WEEKDAY,39.965933,-82.998696,2,0,152,N 3RD ST & E SPRING ST,2,0.0,4173
2.0,WEEKDAY,39.985278,-82.958305,2,3,9,E 5TH AVE & PARKWOOD AVE,5,0.1,4174
1.1,WEEKDAY,39.965964,-83.004687,0,3,71,W SPRING ST & MARCONI BL,3,0.1,4176
0.2,WEEKDAY,39.965964,-83.004594,0,0,72,W SPRING ST & MARCONI BL,0,0.1,4176
2.5,WEEKDAY,39.965972,-83.004656,1,5,73,W SPRING ST & MARCONI BL,6,0.2,4176
